timeline,game_id,team,inning,score
26,1,0,7,0
26,1,1,7,0
26,1,0,8,0
26,1,1,8,0
26,1,0,9,0
26,1,1,9,0
27,1,0,1,0
27,1,1,1,2
27,1,0,2,0
27,1,1,2,0
27,1,0,3,0
27,1,1,3,1
27,1,0,4,0
27,1,1,4,0
27,1,0,5,1
27,1,1,5,1
27,1,0,6,0
27,1,1,6,0
27,1,0,7,2
27,1,1,7,0
27,1,0,8,0
27,1,1,8,0
27,1,0,9,0
27,1,1,9,0
28,1,0,1,0
28,1,1,1,2
28,1,0,2,0
28,1,1,2,0
28,1,0,3,0
28,1,1,3,0
28,1,0,4,0
28,1,1,4,0
28,1,0,5,0
28,1,1,5,3
28,1,0,6,0
28,1,1,6,0
28,1,0,7,0
28,1,1,7,0
28,1,0,8,0
28,1,1,8,0
28,1,0,9,4
28,1,1,9,0
29,1,0,1,0
29,1,1,1,0
29,1,0,2,0
29,1,1,2,0
29,1,0,3,0
29,1,1,3,0
29,1,0,4,0
29,1,1,4,1
29,1,0,5,0
29,1,1,5,0
29,1,0,6,0
29,1,1,6,0
29,1,0,7,2
29,1,1,7,0
29,1,0,8,0
29,1,1,8,0
29,1,0,9,0
29,1,1,9,0
30,1,0,1,0
30,1,1,1,0
30,1,0,2,0
30,1,1,2,0
30,1,0,3,0
30,1,1,3,0
30,1,0,4,0
30,1,1,4,0
30,1,0,5,0
30,1,1,5,0
30,1,0,6,0
30,1,1,6,0
30,1,0,7,0
30,1,1,7,0
30,1,0,8,0
30,1,1,8,0
30,1,0,9,0
30,1,1,9,0
30,1,0,10,0
30,1,1,10,0
30,1,0,11,0
30,1,1,11,0
30,1,0,12,0
30,1,1,12,0
30,1,0,13,0
30,1,1,13,0
30,1,0,14,1
30,1,1,14,0
31,1,0,1,0
31,1,1,1,0
31,1,0,2,0
31,1,1,2,1
31,1,0,3,0
31,1,1,3,0
31,1,0,4,0
31,1,1,4,2
31,1,0,5,0
31,1,1,5,0
31,1,0,6,0
31,1,1,6,0
31,1,0,7,0
31,1,1,7,0
31,1,0,8,2
31,1,1,8,0
31,1,0,9,0
31,1,1,9,0
32,1,0,1,0
32,1,1,1,1
32,1,0,2,0
32,1,1,2,0
32,1,0,3,0
32,1,1,3,1
32,1,0,4,0
32,1,1,4,1
32,1,0,5,0
32,1,1,5,0
32,1,0,6,2
32,1,1,6,0
32,1,0,7,1
32,1,1,7,0
32,1,0,8,0
32,1,1,8,0
32,1,0,9,0
32,1,1,9,0
32,1,0,10,0
32,1,1,10,0
32,1,0,11,0
32,1,1,11,0
32,1,0,12,0
32,1,1,12,0
32,1,0,13,0
32,1,1,13,0
32,1,0,14,0
32,1,1,14,0
32,1,0,15,1
32,1,1,15,0
33,1,0,1,0
33,1,1,1,2
33,1,0,2,0
33,1,1,2,0
33,1,0,3,0
33,1,1,3,0
33,1,0,4,1
33,1,1,4,0
33,1,0,5,0
33,1,1,5,0
33,1,0,6,1
33,1,1,6,0
33,1,0,7,0
33,1,1,7,0
33,1,0,8,0
33,1,1,8,0
33,1,0,9,0
33,1,1,9,1
34,1,0,1,0
34,1,1,1,0
34,1,0,2,1
34,1,1,2,1
34,1,0,3,0
34,1,1,3,0
34,1,0,4,0
34,1,1,4,0
34,1,0,5,0
34,1,1,5,0
34,1,0,6,0
34,1,1,6,0
34,1,0,7,0
34,1,1,7,0
34,1,0,8,0
34,1,1,8,1
34,1,0,9,0
34,1,1,9,0
35,1,0,1,0
35,1,1,1,0
35,1,0,2,0
35,1,1,2,1
35,1,0,3,0
35,1,1,3,0
35,1,0,4,0
35,1,1,4,0
35,1,0,5,2
35,1,1,5,2
35,1,0,6,0
35,1,1,6,0
35,1,0,7,2
35,1,1,7,1
35,1,0,8,0
35,1,1,8,0
35,1,0,9,0
35,1,1,9,0
35,1,0,10,0
35,1,1,10,0
35,1,0,11,1
35,1,1,11,0
